level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,upgradeReward,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,Lumber_opt,time_cumulative(days),elementalEmber_cumulative,electrumBar_cumulative,cosmicCharge_cumulative,Lumber_cumulative,cumulative_rubble,XP,XP_cumulative
14,piercing:38115,137915,piercing,38115,50,50,experience:1691,68958,0,0,0,19058,3.916898148,0,1500,2,43357,15714.91872,1691,9272
15,electrumBar:900,177093,electrumBar,900,50,50,experience:2087,88547,0,450,0,0,4.941747685,0,1950,2,43357,18203.94522,2087,11359
16,piercing:57617,219927,piercing,57617,50,50,experience:2546,109964,0,0,0,28809,6.214479167,0,1950,2,72166,18453.45151,2546,13905
17,electrumBar:1050,297600,electrumBar,1050,50,50,experience:3048,148800,0,525,0,0,7.936701389,0,2475,2,72166,21460.54345,3048,16953
18,piercing:86400,345600,piercing,86400,50,50,experience:4000,172800,0,0,0,43200,9.936701389,0,2475,2,115366,21852.62346,4000,20953
19,electrumBar:1200,388800,electrumBar,1200,50,10,experience:5334,38880,0,600,0,0,10.38670139,0,3075,2,115366,24991.66146,5334,26287
20,piercing:154799,432000,piercing,154799,50,10,experience:7000,43200,0,0,0,77400,10.88670139,0,3075,2,192766,25089.68146,7000,33287
21,cosmicCharge:3,518400,cosmicCharge,3,50,10,experience:9143,51840,0,0,2,0,11.48670139,0,3075,4,192766,32527.30546,9143,42430
22,piercing:219599,604800,piercing,219599,50,10,experience:12000,60480,0,0,0,109800,12.18670139,0,3075,4,302566,32664.53346,12000,54430
23,electrumBar:1500,691200,electrumBar,1500,50,10,experience:16000,69120,0,750,0,0,12.98670139,0,3825,4,302566,36634.89046,16000,70430
24,piercing:269232,864000,piercing,269232,50,10,experience:17600,86400,0,0,0,134616,13.98670139,0,3825,4,437182,36830.93046,17600,88030
25,electrumBar:1650,864000,electrumBar,1650,50,10,experience:19200,86400,0,825,0,0,14.98670139,0,4650,4,437182,41221.84796,19200,107230
26,piercing:340800,936000,piercing,340800,50,10,experience:20800,93600,0,0,0,170400,16.07003472,0,4650,4,607582,41434.22463,20800,128030
27,electrumBar:1800,1080000,electrumBar,1800,50,10,experience:24000,108000,0,900,0,0,17.32003472,0,5550,4,607582,46255.50463,24000,152030
28,piercing:422592,1152000,piercing,422592,50,10,experience:25600,115200,0,0,0,211296,18.65336806,0,5550,4,818878,46516.8913,25600,177630
29,electrumBar:1950,1224000,electrumBar,1950,50,10,experience:27200,122400,0,975,0,0,20.07003472,0,6525,4,818878,51752.19714,27200,204830
30,piercing:504384,1224000,piercing,504384,50,10,experience:30400,122400,0,0,0,252192,21.48670139,0,6525,4,1071070,52029.92047,30400,235230
31,cosmicCharge:4,1370990,cosmicCharge,4,50,10,experience:32000,137099,0,0,2,0,23.07349537,0,6525,6,1071070,59660.99557,32000,267230
32,piercing:586176,1468800,piercing,586176,50,10,experience:33600,146880,0,0,0,293088,24.77349537,0,6525,6,1364158,59994.26357,33600,300830
33,electrumBar:2250,1566720,electrumBar,2250,50,10,experience:33600,156672,0,1125,0,0,26.5868287,0,7650,6,1364158,66070.03694,33600,334430
34,piercing:667968,1664640,piercing,667968,50,10,experience:33600,166464,0,0,0,333984,28.51349537,0,7650,6,1698142,66447.74068,33600,368030
35,electrumBar:2400,1762560,electrumBar,2400,50,10,experience:33600,176256,0,1200,0,0,30.55349537,0,8850,6,1698142,72949.30228,33600,401630
36,piercing:749760,1762560,piercing,749760,50,10,experience:33600,176256,0,0,0,374880,32.59349537,0,8850,6,2073022,73349.22388,33600,435230
37,electrumBar:2550,1762560,electrumBar,2550,50,10,experience:33600,176256,0,1275,0,0,34.63349537,0,10125,6,2073022,80232.13799,33600,468830
38,piercing:831552,1762560,piercing,831552,50,10,experience:33600,176256,0,0,0,415776,36.67349537,0,10125,6,2488798,80632.05959,33600,502430
39,electrumBar:2700,1762560,electrumBar,2700,50,10,experience:33600,176256,0,1350,0,0,38.71349537,0,11475,6,2488798,87896.32619,33600,536030
40,piercing:913344,1762560,piercing,913344,50,10,experience:33600,176256,0,0,0,456672,40.75349537,0,11475,6,2945470,88296.2478,33600,569630
41,cosmicCharge:6,2290604,cosmicCharge,6,50,10,experience:35349,229061,0,0,3,0,43.40466435,0,11475,9,2945470,99795.98297,35349,604979
42,piercing:995136,2743903,piercing,995136,50,10,experience:42345,274391,0,0,0,497568,46.58048611,0,11475,9,3443038,100418.5711,42345,647324
43,electrumBar:3000,3197201,electrumBar,3000,50,10,experience:49340,319721,0,1500,0,0,50.28096065,0,12975,9,3443038,108771.0621,49340,696664
44,piercing:1076928,3650500,piercing,1076928,50,10,experience:56335,365050,0,0,0,538464,54.50607639,0,12975,9,3981502,109599.3538,56335,752999
45,electrumBar:3150,4103799,electrumBar,3150,50,10,experience:63331,410380,0,1575,0,0,59.25584491,0,14550,9,3981502,118538.9009,63331,816330
46,piercing:1158720,4177339,piercing,1158720,50,10,experience:70326,417734,0,0,0,579360,64.09072917,0,14550,9,4560862,119486.7316,70326,886656
47,electrumBar:3300,4314507,electrumBar,3300,50,10,experience:77321,431451,0,1650,0,0,69.084375,0,16200,9,4560862,128855.441,77321,963977
48,piercing:1240512,4553079,piercing,1240512,50,10,experience:84317,455308,0,0,0,620256,74.35414352,0,16200,9,5181118,129888.5264,84317,1048294
49,electrumBar:3450,4602106,electrumBar,3450,50,10,experience:91312,460211,0,1725,0,0,79.68065972,0,17925,9,5181118,139703.8442,91312,1139606
50,piercing:1322304,4777719,piercing,1322304,50,10,experience:98307,477772,0,0,0,661152,85.21042824,0,17925,9,5842270,140787.9,98307,1237913
51,cosmicCharge:8,5000000,cosmicCharge,8,50,10,experience:101805,500000,0,0,4,0,90.99746528,0,17925,13,5842270,156562.3907,101805,1339718
52,piercing:1363200,5000000,piercing,1363200,50,10,experience:105303,500000,0,0,0,681600,96.78450231,0,17925,13,6523870,157696.8815,105303,1445021
53,electrumBar:3750,5000000,electrumBar,3750,50,10,experience:106000,500000,0,1875,0,0,102.5715394,0,19800,13,6523870,168365.1847,106000,1551021
54,piercing:1404096,5000000,piercing,1404096,50,10,experience:106000,500000,0,0,0,702048,108.3585764,0,19800,13,7225918,169499.6755,106000,1657021
55,electrumBar:3900,5000000,electrumBar,3900,50,10,experience:106000,500000,0,1950,0,0,114.1456134,0,21750,13,7225918,180549.3312,106000,1763021
56,piercing:1444992,5000000,piercing,1444992,50,10,experience:106000,500000,0,0,0,722496,119.9326505,0,21750,13,7948414,181683.822,106000,1869021
57,electrumBar:4050,5000000,electrumBar,4050,50,10,experience:106000,500000,0,2025,0,0,125.7196875,0,23775,13,7948414,193114.8302,106000,1975021
58,piercing:1485888,5000000,piercing,1485888,50,10,experience:106000,500000,0,0,0,742944,131.5067245,0,23775,13,8691358,194249.321,106000,2081021
59,electrumBar:4200,5000000,electrumBar,4200,50,10,experience:106000,500000,0,2100,0,0,137.2937616,0,25875,13,8691358,206061.6817,106000,2187021
60,piercing:1526784,5000000,piercing,1526784,50,10,experience:106000,500000,0,0,0,763392,143.0807986,0,25875,13,9454750,207196.1725,106000,2293021
61,cosmicCharge:9,5000000,cosmicCharge,9,50,10,experience:106000,500000,0,0,5,0,148.8678356,0,25875,18,9454750,226630.6632,106000,2399021
62,piercing:1772160,5000000,piercing,1772160,50,10,experience:106000,500000,0,0,0,886080,154.6548727,0,25875,18,10340830,227765.154,106000,2505021
63,electrumBar:4500,5000000,electrumBar,4500,50,10,experience:106000,500000,0,2250,0,0,160.4419097,0,28125,18,10340830,240340.2197,106000,2611021
64,piercing:1813056,5000000,piercing,1813056,50,10,experience:106000,500000,0,0,0,906528,166.2289468,0,28125,18,11247358,241474.7105,106000,2717021
65,electrumBar:4650,5000000,electrumBar,4650,50,10,experience:106000,500000,0,2325,0,0,172.0159838,0,30450,18,11247358,254431.1287,106000,2823021
66,piercing:1853952,5000000,piercing,1853952,50,10,experience:106000,500000,0,0,0,926976,177.8030208,0,30450,18,12174334,255565.6195,106000,2929021
67,electrumBar:4800,5000000,electrumBar,4800,50,10,experience:106000,500000,0,2400,0,0,183.5900579,0,32850,18,12174334,268903.3902,106000,3035021
68,piercing:1894848,5000000,piercing,1894848,50,10,experience:106000,500000,0,0,0,947424,189.3770949,0,32850,18,13121758,270037.881,106000,3141021
69,electrumBar:4950,5000000,electrumBar,4950,50,10,experience:106000,500000,0,2475,0,0,195.1641319,0,35325,18,13121758,283757.0042,106000,3247021
70,piercing:1935744,5000000,piercing,1935744,50,10,experience:106000,500000,0,0,0,967872,200.951169,0,35325,18,14089630,284891.495,106000,3353021
71,cosmicCharge:10,5000000,cosmicCharge,10,50,10,experience:106000,500000,0,0,5,0,206.738206,0,35325,23,14089630,304325.9857,106000,3459021
72,piercing:1976640,5000000,piercing,1976640,50,10,experience:106000,500000,0,0,0,988320,212.5252431,0,35325,23,15077950,305460.4765,106000,3565021
73,electrumBar:5250,5000000,electrumBar,5250,50,10,experience:106000,500000,0,2625,0,0,218.3122801,0,37950,23,15077950,319942.3047,106000,3671021
74,piercing:2017536,5000000,piercing,2017536,50,10,experience:106000,500000,0,0,0,1008768,224.0993171,0,37950,23,16086718,321076.7955,106000,3777021
75,electrumBar:5400,5000000,electrumBar,5400,50,10,experience:106000,500000,0,2700,0,0,229.8863542,0,40650,23,16086718,335939.9762,106000,3883021
76,piercing:2058432,5000000,piercing,2058432,50,10,experience:106000,500000,0,0,0,1029216,235.6733912,0,40650,23,17115934,337074.467,106000,3989021
77,electrumBar:5550,5000000,electrumBar,5550,50,10,experience:106000,500000,0,2775,0,0,241.4604282,0,43425,23,17115934,352319.0002,106000,4095021
78,piercing:2109552,5000000,piercing,2109552,50,10,experience:106000,500000,0,0,0,1054776,247.2474653,0,43425,23,18170710,353453.491,106000,4201021
79,electrumBar:5700,5000000,electrumBar,5700,50,10,experience:106000,500000,0,2850,0,0,253.0345023,0,46275,23,18170710,369079.3767,106000,4307021
80,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,258.8215394,0,46275,23,19251046,370213.8675,106000,4413021
81,cosmicCharge:12,5000000,cosmicCharge,12,50,10,experience:106000,500000,0,0,6,0,264.6085764,0,46275,29,19251046,393308.3582,106000,4519021
82,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,270.3956134,0,46275,29,20331382,394442.849,106000,4625021
83,electrumBar:6000,5000000,electrumBar,6000,50,10,experience:106000,500000,0,3000,0,0,276.1826505,0,49275,29,20331382,410831.4397,106000,4731021
84,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,281.9696875,0,49275,29,21411718,411965.9305,106000,4837021
85,electrumBar:6150,5000000,electrumBar,6150,50,10,experience:106000,500000,0,3075,0,0,287.7567245,0,52350,29,21411718,428735.8737,106000,4943021
86,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,293.5437616,0,52350,29,22492054,429870.3645,106000,5049021
87,electrumBar:6300,5000000,electrumBar,6300,50,10,experience:106000,500000,0,3150,0,0,299.3307986,0,55500,29,22492054,447021.6602,106000,5155021
88,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,305.1178356,0,55500,29,23572390,448156.151,106000,5261021
89,electrumBar:6450,5000000,electrumBar,6450,50,10,experience:106000,500000,0,3225,0,0,310.9048727,0,58725,29,23572390,465688.7992,106000,5367021
90,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,316.6919097,0,58725,29,24652726,466823.29,106000,5473021
91,cosmicCharge:13,5000000,cosmicCharge,13,50,10,experience:106000,500000,0,0,7,0,322.4789468,0,58725,36,24652726,493577.7807,106000,5579021
92,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,328.2659838,0,58725,36,25733062,494712.2715,106000,5685021
93,electrumBar:6750,5000000,electrumBar,6750,50,10,experience:106000,500000,0,3375,0,0,334.0530208,0,62100,36,25733062,513007.6247,106000,5791021
94,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,339.8400579,0,62100,36,26813398,514142.1155,106000,5897021
95,electrumBar:6900,5000000,electrumBar,6900,50,10,experience:106000,500000,0,3450,0,0,345.6270949,0,65550,36,26813398,532818.8212,106000,6003021
96,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,351.4141319,0,65550,36,27893734,533953.312,106000,6109021
97,electrumBar:7050,5000000,electrumBar,7050,50,10,experience:106000,500000,0,3525,0,0,357.201169,0,69075,36,27893734,553011.3702,106000,6215021
98,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,362.988206,0,69075,36,28974070,554145.861,106000,6321021
99,electrumBar:7200,5000000,electrumBar,7200,50,10,experience:106000,500000,0,3600,0,0,368.7752431,0,72675,36,28974070,573585.2717,106000,6427021
100,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,374.5622801,0,72675,36,30054406,574719.7625,106000,6533021
101,cosmicCharge:15,5000000,cosmicCharge,15,50,10,experience:106000,500000,0,0,8,0,380.3493171,0,72675,44,30054406,605134.2532,106000,6639021
102,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,386.1363542,0,72675,44,31134742,606268.744,106000,6745021
103,electrumBar:7500,5000000,electrumBar,7500,50,10,experience:106000,500000,0,3750,0,0,391.9233912,0,76425,44,31134742,626470.8597,106000,6851021
104,piercing:2160672,5000000,piercing,2160672,50,10,experience:106000,500000,0,0,0,1080336,397.7104282,0,76425,44,32215078,627605.3505,106000,6957021
105,electrumBar:7650,5000000,electrumBar,7650,50,10,experience:106000,500000,0,3825,0,0,403.4974653,0,80250,44,32215078,648188.8187,106000,7063021
106,piercing:2160673,5000000,piercing,2160673,50,10,experience:106000,500000,0,0,0,1080337,409.2845023,0,80250,44,33295415,649323.3095,106000,7169021
107,electrumBar:7800,5000000,electrumBar,7800,50,10,experience:106000,500000,0,3900,0,0,415.0715394,0,84150,44,33295415,670288.1302,106000,7275021
108,piercing:2160673,5000000,piercing,2160673,50,10,experience:106000,500000,0,0,0,1080337,420.8585764,0,84150,44,34375752,671422.621,106000,7381021
109,electrumBar:7950,5000000,electrumBar,7950,50,10,experience:106000,500000,0,3975,0,0,426.6456134,0,88125,44,34375752,692768.7942,106000,7487021
110,piercing:2160673,5000000,piercing,2160673,50,10,experience:106000,500000,0,0,0,1080337,432.4326505,0,88125,44,35456089,693903.285,106000,7593021
111,cosmicCharge:16,5000000,cosmicCharge,16,50,10,experience:106000,500000,0,0,8,0,438.2196875,0,88125,52,35456089,724317.7757,106000,7699021
112,piercing:2160674,5000000,piercing,2160674,50,10,experience:106000,500000,0,0,0,1080337,444.0067245,0,88125,52,36536426,725452.2665,106000,7805021
113,electrumBar:8250,5000000,electrumBar,8250,50,10,experience:106000,500000,0,4125,0,0,449.7937616,0,92250,52,36536426,747561.1447,106000,7911021
114,piercing:2160674,5000000,piercing,2160674,50,10,experience:106000,500000,0,0,0,1080337,455.5807986,0,92250,52,37616763,748695.6355,106000,8017021
115,electrumBar:8400,5000000,electrumBar,8400,50,10,experience:106000,500000,0,4200,0,0,461.3678356,0,96450,52,37616763,771185.8662,106000,8123021
116,piercing:2160674,5000000,piercing,2160674,50,10,experience:106000,500000,0,0,0,1080337,467.1548727,0,96450,52,38697100,772320.357,106000,8229021
117,electrumBar:8550,5000000,electrumBar,8550,50,10,experience:106000,500000,0,4275,0,0,472.9419097,0,100725,52,38697100,795191.9402,106000,8335021
118,piercing:2160675,5000000,piercing,2160675,50,10,experience:106000,500000,0,0,0,1080338,478.7289468,0,100725,52,39777438,796326.431,106000,8441021
119,electrumBar:8700,5000000,electrumBar,8700,50,10,experience:106000,500000,0,4350,0,0,484.5159838,0,105075,52,39777438,819579.3667,106000,8547021
120,piercing:2160675,5000000,piercing,2160675,50,10,experience:106000,500000,0,0,0,1080338,490.3030208,0,105075,52,40857776,820713.8575,106000,8653021
121,cosmicCharge:17,5000000,cosmicCharge,17,50,10,experience:106000,500000,0,0,9,0,496.0900579,0,105075,61,40857776,854788.3482,106000,8759021
122,piercing:2160675,5000000,piercing,2160675,50,10,experience:106000,500000,0,0,0,1080338,501.8770949,0,105075,61,41938114,855922.839,106000,8865021
123,electrumBar:9000,5000000,electrumBar,9000,50,10,experience:106000,500000,0,4500,0,0,507.6641319,0,109575,61,41938114,879938.4797,106000,8971021
124,piercing:2160676,5000000,piercing,2160676,50,10,experience:106000,500000,0,0,0,1080338,513.451169,0,109575,61,43018452,881072.9705,106000,9077021
125,electrumBar:9150,5000000,electrumBar,9150,50,10,experience:106000,500000,0,4575,0,0,519.238206,0,114150,61,43018452,905469.9637,106000,9183021
126,piercing:2160676,5000000,piercing,2160676,50,10,experience:106000,500000,0,0,0,1080338,525.0252431,0,114150,61,44098790,906604.4545,106000,9289021
127,electrumBar:9300,5000000,electrumBar,9300,50,10,experience:106000,500000,0,4650,0,0,530.8122801,0,118800,61,44098790,931382.8002,106000,9395021
128,piercing:2160676,5000000,piercing,2160676,50,10,experience:106000,500000,0,0,0,1080338,536.5993171,0,118800,61,45179128,932517.291,106000,9501021
129,electrumBar:9450,5000000,electrumBar,9450,50,10,experience:106000,500000,0,4725,0,0,542.3863542,0,123525,61,45179128,957676.9892,106000,9607021
130,piercing:2160677,5000000,piercing,2160677,50,10,experience:106000,500000,0,0,0,1080339,548.1733912,0,123525,61,46259467,958811.48,106000,9713021
131,electrumBar:9600,5000000,electrumBar,9600,50,10,experience:106000,500000,0,4800,0,0,553.9604282,0,128325,61,46259467,984352.5307,106000,9819021
132,piercing:2160678,5000000,piercing,2160678,50,10,experience:106000,500000,0,0,0,1080339,559.7474653,0,128325,61,47339806,985487.0215,106000,9925021
133,electrumBar:9750,5000000,electrumBar,9750,50,10,experience:106000,500000,0,4875,0,0,565.5345023,0,133200,61,47339806,1011409.425,106000,10031021
134,piercing:2160679,5000000,piercing,2160679,50,10,experience:106000,500000,0,0,0,1080340,571.3215394,0,133200,61,48420146,1012543.915,106000,10137021
135,electrumBar:9900,5000000,electrumBar,9900,50,10,experience:106000,500000,0,4950,0,0,577.1085764,0,138150,61,48420146,1038847.671,106000,10243021
136,piercing:2160680,5000000,piercing,2160680,50,10,experience:106000,500000,0,0,0,1080340,582.8956134,0,138150,61,49500486,1039982.162,106000,10349021
137,cosmicCharge:18,5000000,cosmicCharge,18,50,10,experience:106000,500000,0,0,9,0,588.6826505,0,138150,70,49500486,1074056.653,106000,10455021
138,piercing:2160681,5000000,piercing,2160681,50,10,experience:106000,500000,0,0,0,1080341,594.4696875,0,138150,70,50580827,1075191.143,106000,10561021
139,electrumBar:10200,5000000,electrumBar,10200,50,10,experience:106000,500000,0,5100,0,0,600.2567245,0,143250,70,50580827,1102257.604,106000,10667021
140,piercing:2160682,5000000,piercing,2160682,50,10,experience:106000,500000,0,0,0,1080341,606.0437616,0,143250,70,51661168,1103392.095,106000,10773021
141,electrumBar:10350,5000000,electrumBar,10350,50,10,experience:106000,500000,0,5175,0,0,611.8307986,0,148425,70,51661168,1130839.908,106000,10879021
142,piercing:2160683,5000000,piercing,2160683,50,10,experience:106000,500000,0,0,0,1080342,617.6178356,0,148425,70,52741510,1131974.399,106000,10985021
143,electrumBar:10500,5000000,electrumBar,10500,50,10,experience:106000,500000,0,5250,0,0,623.4048727,0,153675,70,52741510,1159803.565,106000,11091021
144,piercing:2160684,5000000,piercing,2160684,50,10,experience:106000,500000,0,0,0,1080342,629.1919097,0,153675,70,53821852,1160938.055,106000,11197021
145,electrumBar:10650,5000000,electrumBar,10650,50,10,experience:106000,500000,0,5325,0,0,634.9789468,0,159000,70,53821852,1189148.574,106000,11303021
146,piercing:2160685,5000000,piercing,2160685,55,10,experience:106000,500000,0,0,0,1188377,640.7659838,0,159000,70,55010229,1190283.064,106000,11409021
147,cosmicCharge:18,5000000,cosmicCharge,18,55,10,experience:106000,500000,0,0,10,0,646.5530208,0,159000,80,55010229,1228017.555,106000,11515021
148,piercing:2160686,5000000,piercing,2160686,55,10,experience:106000,500000,0,0,0,1188378,652.3400579,0,159000,80,56198607,1229152.046,106000,11621021
149,electrumBar:10950,5000000,electrumBar,10950,55,10,experience:106000,500000,0,6023,0,0,658.1270949,0,165023,80,56198607,1260911.685,106000,11727021
150,piercing:2160687,5000000,piercing,2160687,55,10,experience:106000,500000,0,0,0,1188378,663.9141319,0,165023,80,57386985,1262046.176,106000,11833021
151,electrumBar:11100,5000000,electrumBar,11100,55,10,experience:106000,500000,0,6105,0,0,669.701169,0,171128,80,57386985,1294222.76,106000,11939021
152,piercing:2160688,5000000,piercing,2160688,55,10,experience:106000,500000,0,0,0,1188379,675.488206,0,171128,80,58575364,1295357.251,106000,12045021
153,electrumBar:11250,5000000,electrumBar,11250,55,10,experience:106000,500000,0,6188,0,0,681.2752431,0,177316,80,58575364,1327955.865,106000,12151021
154,piercing:2160689,5000000,piercing,2160689,55,10,experience:106000,500000,0,0,0,1188379,687.0622801,0,177316,80,59763743,1329090.356,106000,12257021
155,electrumBar:11400,5000000,electrumBar,11400,55,10,experience:106000,500000,0,6270,0,0,692.8493171,0,183586,80,59763743,1362105.915,106000,12363021
156,piercing:2160690,5000000,piercing,2160690,60,60,experience:106000,3000000,0,0,0,1296414,727.5715394,0,183586,80,61060157,1368912.86,106000,12469021
157,cosmicCharge:19,5000000,cosmicCharge,19,60,60,experience:106000,3000000,0,0,12,0,762.2937616,0,183586,92,61060157,1419639.804,106000,12575021
158,piercing:2160691,5000000,piercing,2160691,60,60,experience:106000,3000000,0,0,0,1296415,797.0159838,0,183586,92,62356572,1426446.749,106000,12681021
159,electrumBar:11700,5000000,electrumBar,11700,60,60,experience:106000,3000000,0,7020,0,0,831.738206,0,190606,92,62356572,1468948.287,106000,12787021
160,piercing:2160692,5000000,piercing,2160692,60,60,experience:106000,3000000,0,0,0,1296416,866.4604282,0,190606,92,63652988,1475755.232,106000,12893021
161,electrumBar:11850,5000000,electrumBar,11850,60,60,experience:106000,3000000,0,7110,0,0,901.1826505,0,197716,92,63652988,1518714.393,106000,12999021
162,piercing:2160693,5000000,piercing,2160693,60,60,experience:106000,3000000,0,0,0,1296416,935.9048727,0,197716,92,64949404,1525521.338,106000,13105021
163,electrumBar:12000,5000000,electrumBar,12000,60,60,experience:106000,3000000,0,7200,0,0,970.6270949,0,204916,92,64949404,1568938.122,106000,13211021
164,piercing:2160693,5000000,piercing,2160693,60,60,experience:106000,3000000,0,0,0,1296416,1005.349317,0,204916,92,66245820,1575745.067,106000,13317021
165,electrumBar:12150,5000000,electrumBar,12150,60,60,experience:106000,3000000,0,7290,0,0,1040.071539,0,212206,92,66245820,1619619.474,106000,13423021
166,piercing:2160693,5000000,piercing,2160693,65,65,experience:106000,3250000,0,0,0,1404451,1077.68728,0,212206,92,67650271,1626993.664,106000,13529021
167,cosmicCharge:20,5000000,cosmicCharge,20,65,65,experience:106000,3250000,0,0,13,0,1115.303021,0,212206,105,67650271,1681947.854,106000,13635021
168,piercing:2160693,5000000,piercing,2160693,65,65,experience:106000,3250000,0,0,0,1404451,1152.918762,0,212206,105,69054722,1689322.044,106000,13741021
169,electrumBar:12450,5000000,electrumBar,12450,65,65,experience:106000,3250000,0,8093,0,0,1190.534502,0,220299,105,69054722,1737846.711,106000,13847021
170,piercing:2160693,5000000,piercing,2160693,65,65,experience:106000,3250000,0,0,0,1404451,1228.150243,0,220299,105,70459173,1745220.901,106000,13953021
171,electrumBar:12600,5000000,electrumBar,12600,65,65,experience:106000,3250000,0,8190,0,0,1265.765984,0,228489,105,70459173,1794238.784,106000,14059021
172,piercing:2160693,5000000,piercing,2160693,65,65,experience:106000,3250000,0,0,0,1404451,1303.381725,0,228489,105,71863624,1801612.974,106000,14165021
173,electrumBar:12750,5000000,electrumBar,12750,65,65,experience:106000,3250000,0,8288,0,0,1340.997465,0,236777,105,71863624,1851129.157,106000,14271021
174,piercing:2160693,5000000,piercing,2160693,65,65,experience:106000,3250000,0,0,0,1404451,1378.613206,0,236777,105,73268075,1858503.347,106000,14377021
175,electrumBar:12900,5000000,electrumBar,12900,65,65,experience:106000,3250000,0,8385,0,0,1416.228947,0,245162,105,73268075,1908512.746,106000,14483021
176,piercing:2160693,5000000,piercing,2160693,75,75,experience:106000,3750000,0,0,0,1620520,1459.631725,0,245162,105,74888595,1917021.427,106000,14589021
177,cosmicCharge:21,5000000,cosmicCharge,21,75,75,experience:106000,3750000,0,0,16,0,1503.034502,0,245162,121,74888595,1984090.108,106000,14695021
178,piercing:2160693,5000000,piercing,2160693,75,75,experience:106000,3750000,0,0,0,1620520,1546.43728,0,245162,121,76509115,1992598.788,106000,14801021
179,electrumBar:13200,5000000,electrumBar,13200,75,75,experience:106000,3750000,0,9900,0,0,1589.840058,0,255062,121,76509115,2051445.999,106000,14907021
180,piercing:2160693,5000000,piercing,2160693,75,75,experience:106000,3750000,0,0,0,1620520,1633.242836,0,255062,121,78129635,2059954.68,106000,15013021
181,electrumBar:13350,5000000,electrumBar,13350,75,75,experience:106000,3750000,0,10013,0,0,1676.645613,0,265075,121,78129635,2119376.461,106000,15119021
182,piercing:2160693,5000000,piercing,2160693,75,75,experience:106000,3750000,0,0,0,1620520,1720.048391,0,265075,121,79750155,2127885.142,106000,15225021
183,electrumBar:13500,5000000,electrumBar,13500,75,75,experience:106000,3750000,0,10125,0,0,1763.451169,0,275200,121,79750155,2187876.41,106000,15331021
